USPS	GEOID	NAME	LOGRADE	HIGRADE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                        
MN	2714040	Hills-Beaver Creek School District	PK	12	301856205	59869	     116.547	       0.023	 43.580016	 -96.362194                                                                                    
MN	2714070	Hinckley-Finlayson School District	PK	12	1066696611	13994949	     411.854	       5.403	 46.043337	 -92.895825                                                                                
MN	2714190	Holdingford Public School District	PK	12	313983258	2987596	     121.230	       1.154	 45.712689	 -94.405943                                                                                  
MN	2714220	Eden Prairie Public School District	KG	12	80947030	7082376	      31.254	       2.735	 44.846851	 -93.457341                                                                                  
MN	2714260	Hopkins Public School District	PK	12	73814741	2099028	      28.500	       0.810	 44.938000	 -93.412722                                                                                       
MN	2714280	Houston Public School District	PK	12	397633319	2531007	     153.527	       0.977	 43.776770	 -91.574584                                                                                      
MN	2714970	Hutchinson Public School District	PK	12	412694899	23877372	     159.342	       9.219	 44.898475	 -94.401863                                                                                  
MN	2715000	International Falls School District	PK	12	1133120565	89056549	     437.500	      34.385	 48.414281	 -93.278196                                                                               
MN	2715030	Inver Grove Heights Schools	KG	12	51423565	5157114	      19.855	       1.991	 44.825631	 -93.044955                                                                                          
MN	2715510	Isle Public School District	PK	12	511353377	77015308	     197.435	      29.736	 46.154165	 -93.454800                                                                                        
MN	2715540	Ivanhoe Public School District	PK	12	374406680	9725657	     144.559	       3.755	 44.467693	 -96.230974                                                                                      
MN	2715750	Jordan Public School District	PK	12	186086868	3179184	      71.849	       1.227	 44.650994	 -93.572779                                                                                       
MN	2716830	Prinsburg Public School District	PK	12	71863010	215343	      27.746	       0.083	 44.944037	 -95.197862                                                                                      
MN	2716980	Kasson-Mantorville School District	KG	12	248307412	218175	      95.872	       0.084	 44.024838	 -92.736958                                                                                   
MN	2717010	Kelliher Public School District	PK	12	1429514526	194694222	     551.939	      75.172	 48.208623	 -94.651609                                                                                  
MN	2717100	Kenyon-Wanamingo School District	PK	12	574981734	179907	     222.002	       0.069	 44.293527	 -92.916876                                                                                     
MN	2717120	Kerkhoven-Murdock-Sunburg	PK	12	632123481	13025695	     244.064	       5.029	 45.245892	 -95.337943                                                                                          
MN	2717220	Kimball Public School District	PK	12	316718434	12559862	     122.286	       4.849	 45.330178	 -94.286814                                                                                     
MN	2717250	La Crescent-Hokah School District	PK	12	231349142	19320505	      89.324	       7.460	 43.801093	 -91.335800                                                                                  
MN	2717460	Lake Benton Public School District	PK	12	364194640	11960888	     140.616	       4.618	 44.291559	 -96.333585                                                                                 
MN	2717520	Lake City Public School District	PK	12	459167086	46167272	     177.285	      17.825	 44.392813	 -92.333885                                                                                   
MN	2717570	Lake of the Woods School District	PK	12	2947296260	15164373	    1137.957	       5.855	 48.588152	 -94.886698                                                                                 
MN	2717780	Lakeville Public School District	KG	12	214168266	6197066	      82.691	       2.393	 44.634354	 -93.290823                                                                                    
MN	2717880	Lancaster Public School District	PK	12	834919782	1823042	     322.364	       0.704	 48.919432	 -96.690762                                                                                    
MN	2717910	Lanesboro Public School District	PK	12	270298462	770320	     104.363	       0.297	 43.727580	 -91.944745                                                                                     
MN	2717940	Laporte Public School District	PK	12	387546594	24415135	     149.633	       9.427	 47.217324	 -94.875220                                                                                     
MN	2718060	LeRoy-Ostrander Public Schools	PK	12	311749291	124890	     120.367	       0.048	 43.565504	 -92.471220                                                                                       
MN	2718070	LeSueur-Henderson School District	PK	12	434136992	5226853	     167.621	       2.018	 44.479148	 -93.925308                                                                                   
MN	2718090	Lewiston-Altura Public School District	PK	12	411495743	0	     158.879	       0.000	 44.002475	 -91.878979                                                                                    
MN	2718210	Litchfield Public School District	PK	12	584879418	39842017	     225.823	      15.383	 45.125735	 -94.497918                                                                                  
MN	2718240	Little Falls Public School District	PK	12	1057192169	20747990	     408.184	       8.011	 46.042088	 -94.405499                                                                               
MN	2718270	Littlefork-Big Falls School District	PK	12	2266405715	4764826	     875.064	       1.840	 48.264888	 -93.659649                                                                               
MN	2718330	Luverne Public School District	PK	12	669898053	703355	     258.649	       0.272	 43.677915	 -96.182434                                                                                       
MN	2718360	Lyle Public School District	PK	12	167664570	0	      64.736	       0.000	 43.536677	 -92.965060                                                                                               
MN	2718390	Lynd Public School District	KG	12	186657825	816942	      72.069	       0.315	 44.403305	 -95.927624                                                                                          
MN	2718540	Mabel-Canton Public School District	PK	12	295264729	28009	     114.002	       0.011	 43.576361	 -91.830180                                                                                   
MN	2718570	Madelia Public School District	PK	12	372171769	4566010	     143.696	       1.763	 44.043870	 -94.414455                                                                                      
MN	2718660	Mahnomen Public School District	PK	12	861719254	31564263	     332.712	      12.187	 47.345664	 -95.839557                                                                                    
MN	2718750	Mahtomedi Public School District	KG	12	64696120	9813176	      24.979	       3.789	 45.085590	 -92.947915                                                                                     
MN	2718780	Mankato Public School District	KG	12	337952461	16596927	     130.484	       6.408	 44.183638	 -93.975083                                                                                     
MN	2718810	Maple Lake Public School District	PK	12	137208010	11980147	      52.976	       4.626	 45.226829	 -93.995057                                                                                  
MN	2718920	Grygla Public School District	KG	12	2088035507	4652648	     806.195	       1.796	 48.359829	 -95.422043                                                                                      
MN	2718940	Marshall Public School District	PK	12	421430158	1083543	     162.715	       0.418	 44.436622	 -95.746361                                                                                     
MN	2718960	Martin County West School District	KG	12	713707662	12588595	     275.564	       4.860	 43.684410	 -94.713271                                                                                 
MN	2719170	McGregor Public School District	PK	12	1997598311	86253557	     771.277	      33.303	 46.577144	 -93.238742                                                                                   
MN	2719320	Medford Public School District	PK	12	194504879	259541	      75.099	       0.100	 44.174013	 -93.263492                                                                                       
MN	2720550	Melrose Public School District	PK	12	562588494	14982480	     217.217	       5.785	 45.648414	 -94.783373                                                                                     
MN	2720580	Menahga Public School District	PK	12	538367484	19280624	     207.865	       7.444	 46.776173	 -95.101582                                                                                     
MN	2720670	Milaca Public School District	PK	12	738214259	3234917	     285.026	       1.249	 45.815500	 -93.691523                                                                                       
MN	2721210	Milroy Public School District	KG	12	225626173	1032101	      87.115	       0.398	 44.434412	 -95.530744                                                                                       
MN	2721240	Minneapolis Public School District	PK	12	139948160	9007010	      54.034	       3.478	 44.963324	 -93.268320                                                                                  
MN	2721270	Minneota Public School District	PK	12	453221761	540925	     174.990	       0.209	 44.569589	 -96.000325                                                                                      
