0101830,Jackson County School District KG,34.763522,-85.977400
0101860,Jacksonville City School District KG,33.806214,-85.758288
0101890,Jasper City School District KG,33.854951,-87.270740
0101920,Jefferson County School District KG,33.576195,-86.938008
0101950,Lamar County School District KG,33.787085,-88.087431
0101980,Lanett City School District KG,32.857871,-85.207739
0102010,Lauderdale County School District KG,34.904122,-87.650997
0102040,Lawrence County School District KG,34.529776,-87.321865
0102070,Lee County School District KG,32.581051,-85.350306
0102100,Limestone County School District KG,34.770706,-87.032742
0102130,Linden City School District KG,32.301901,-87.833754
0102160,Lowndes County School District KG,32.147888,-86.650586
0102190,Macon County School District KG,32.387027,-85.692887
0102220,Madison County School District KG,34.795664,-86.522158
0102250,Marengo County School District KG,32.127617,-87.629114
0102310,Marion County School District KG,34.146544,-87.889416
0102350,Midfield City School District KG,33.455197,-86.922633
0102370,Mobile County School District KG,30.682863,-88.198154
0102400,Monroe County School District KG,31.580332,-87.383266
0102430,Montgomery County School District KG,32.203650,-86.203831
0102480,Morgan County School District KG,34.441072,-86.833188
0102490,Mountain Brook City School District KG,33.491488,-86.734470
0102520,Muscle Shoals City School District KG,34.743170,-87.633761
0102550,Oneonta City School District KG,33.946774,-86.490517
0102580,Opelika City School District KG,32.660739,-85.378890
0102610,Opp City School District KG,31.284375,-86.257442
0102635,Oxford City School District KG,33.590431,-85.852433
0102640,Ozark City School District KG,31.443470,-85.641292
0102650,Pell City City School District KG,33.551071,-86.319249
0102670,Perry County School District KG,32.639005,-87.293827
0102700,Phenix City City School District KG,32.461669,-85.025021
0102730,Pickens County School District KG,33.296808,-88.096878
0102760,Piedmont City School District KG,33.918005,-85.513815
0102790,Pike County School District KG,31.727205,-85.793191
0102820,Randolph County School District KG,33.296475,-85.464068
0102850,Roanoke City School District KG,33.145305,-85.369526
0102880,Russell County School District KG,32.273253,-85.181598
0102910,Russellville City School District KG,34.505737,-87.728192
